w4m1p2	995289p_all	995284p_all	995286p_all	995285p_all	995283p_all	995287p_all	995288p_all
w2p1p1	777641p_all	777635p_all	777642p_all	777636p_all	777634p_all	777640p_all	777633p_all
w2p1p2	777303p_all	777309p_all	777311p_all	777304p_all	777301p_all	777302p_all	777310p_all
w1p4m1	826822p_all	826820p_all	826825p_all	826823p_all	826819p_all	826824p_all	826821p_all
w2m0p1	830745p_all	830743p_all	830744p_all	830740p_all	830742p_all	830741p_all	830739p_all
w3p2m3	987105p_all	987103p_all	987100p_all	987107p_all	987101p_all	987106p_all	987102p_all
w2m0m1	832088p_all	832089p_all	832087p_all	832092p_all	832090p_all	832091p_all	832086p_all
w2p1p3	775153p_all	775160p_all	775155p_all	775154p_all	775156p_all	775159p_all	775158p_all
w1m0m4	963769p_all	963768p_all	963764p_all	963767p_all	963766p_all	963763p_all	963765p_all
w1p3m3	874627p_all	874623p_all	874624p_all	874626p_all	874628p_all	874625p_all	874629p_all
w3m2p2	845103p_all	845100p_all	845098p_all	845101p_all	845102p_all	845104p_all	845099p_all
w1m2p3	820412p_all	820414p_all	820413p_all	820410p_all	820411p_all	820415p_all	820409p_all
w1m0m1	826522p_all	826523p_all	826525p_all	826521p_all	826520p_all	826524p_all	826519p_all
w3m3p2	797764p_all	797766p_all	797765p_all	797763p_all	797767p_all	797761p_all	797762p_all
w3p2p3	849777p_all	849779p_all	849780p_all	849778p_all	849782p_all	849781p_all	849783p_all
w1m0p2	762474p_all	762477p_all	762480p_all	762479p_all	762478p_all	762475p_all	762476p_all
w3p1p1	796488p_all	796486p_all	796485p_all	796491p_all	796490p_all	796487p_all	796489p_all
w4m0p1	863449p_all	863445p_all	863451p_all	863448p_all	863446p_all	863447p_all	863450p_all
w1p1p2	760935p_all	760938p_all	760933p_all	760934p_all	760937p_all	760939p_all	760936p_all
